CPU	1	0.056
CPU	3	0.058
CPU	5	0.056
CPU	7	0.058
CPU	9	0.055
CPU	11	0.059
CPU	13	0.055
CPU	15	0.059
CPU	17	0.054
CPU	19	0.060
CPU	21	0.056
CPU	23	0.058
CPU	25	0.056
CPU	27	0.058
CPU	29	0.055
CPU	31	0.059
CPU	33	0.055
CPU	35	0.059
CPU	37	0.054
CPU	39	0.054
CPU	41	0.060
CPU	43	0.053
CPU	45	0.061
CPU	47	0.053
CPU	49	0.066
IO	0	76.20
IO	2	78.26
IO	4	76.50
IO	6	77.96
IO	8	76.70
IO	10	77.76
IO	12	76.90
IO	14	77.56
IO	16	77.10
IO	18	77.36
IO	20	76.80
IO	22	77.66
IO	24	76.60
IO	26	77.86
IO	28	77.00
IO	30	77.46
IO	32	76.40
IO	34	78.06
IO	36	76.00
IO	38	78.46
IO	40	77.05
IO	42	77.41
IO	44	77.15
IO	46	77.31
IO	48	77.23
