CPU	 1	 0.066675
CPU	 3	 0.083325
CPU	 5	 0.066675
CPU	 7	 0.083325
CPU	 9	 0.083325
CPU	 11	 0.1
CPU	 13	 0.08335
CPU	 15	 0.06665
CPU	 17	 0.08335
CPU	 19	 0.083325
CPU	 21	 0.066675
CPU	 23	 0.06665
CPU	 25	 0.08335
CPU	 27	 0.06665
CPU	 29	 0.08335
CPU	 31	 0.083325
CPU	 33	 0.083325
CPU	 35	 0.08335
CPU	 37	 0.083325
CPU	 39	 0.116675
CPU	 41	 0.083325
CPU	 43	 0.083325
CPU	 45	 0.08335
CPU	 47	 0.06665
CPU	 49	 0.08335
CPU	 51	 0.083325
CPU	 53	 0.083325
CPU	 55	 0.08335
CPU	 57	 0.083325
CPU	 59	 0.083325
CPU	 61	 0.08335
CPU	 63	 0.083325
CPU	 65	 0.083325
CPU	 67	 0.08335
CPU	 69	 0.083325
CPU	 71	 0.066675
CPU	 73	 0.133325
CPU	 75	 0.1
CPU	 77	 0.083325
CPU	 79	 0.08335
CPU	 81	 0.066675
CPU	 83	 0.116675
CPU	 85	 0.11665
CPU	 87	 0.116675
CPU	 89	 0.116675
CPU	 91	 0.21665
CPU	 93	 0.15
CPU	 95	 0.166675
CPU	 97	 0.183325
CPU	 99	 0.13335
IO	 0	 1087.37
IO	 2	 1087.3
IO	 4	 1087.22
IO	 6	 1087.15
IO	 10	 1087
IO	 8	 1087.08
IO	 12	 1086.9
IO	 14	 1086.82
IO	 16	 1086.75
IO	 18	 1086.67
IO	 20	 1086.6
IO	 22	 1086.53
IO	 24	 1086.47
IO	 26	 1086.38
IO	 28	 1086.32
IO	 30	 1086.23
IO	 32	 1086.17
IO	 34	 1086.08
IO	 36	 1086
IO	 38	 1085.92
IO	 40	 1085.8
IO	 42	 1085.72
IO	 44	 1085.65
IO	 46	 1085.57
IO	 48	 1085.5
IO	 50	 1085.42
IO	 54	 1085.25
IO	 52	 1085.33
IO	 56	 1085.17
IO	 58	 1085.08
IO	 60	 1085.02
IO	 62	 1084.93
IO	 64	 1084.85
IO	 66	 1084.77
IO	 68	 1084.68
IO	 70	 1084.6
IO	 72	 1084.53
IO	 74	 1084.4
IO	 76	 1084.3
IO	 78	 1084.22
IO	 80	 1084.15
IO	 82	 1084.07
IO	 84	 1083.95
IO	 86	 1083.83
IO	 88	 1083.72
IO	 90	 1083.6
IO	 92	 1083.38
IO	 94	 1083.23
IO	 96	 1083.07
IO	 98	 1082.88
